dock_id,date,hour,avail_bikes,avail_docks,tot_docks,avail_bikes_proportion,avail_docks_proportion,latitude,longitude
316,19-04-30,6.0,16.0,27.0,43.0,0.37209302325581395,0.627906976744186,40.709559582574187,-74.006536092711457
3536,19-04-30,6.0,0.0,43.0,43.0,0.0,1.0,40.8082,-73.9641
3139,19-04-30,6.0,0.5,42.5,43.0,0.011627906976744186,0.98837209302325579,40.771184738234325,-73.964103616284774
3226,19-04-30,6.0,12.5,32.5,45.0,0.27777777777777779,0.72222222222222221,40.78275,-73.97137
3260,19-04-30,6.0,27.5,17.5,45.0,0.61111111111111116,0.3888888888888889,40.727063633483063,-73.996621370315538
546,19-04-30,6.0,0.5,44.5,45.0,0.011111111111111112,0.98888888888888893,40.744449200408923,-73.983035289766434
3479,19-04-30,6.0,6.0,39.0,45.0,0.13333333333333333,0.8666666666666667,40.685125595154148,-74.025353193283081
195,19-04-30,6.0,8.0,37.0,45.0,0.17777777777777778,0.82222222222222219,40.70905623,-74.01043382
410,19-04-30,6.0,32.5,12.5,45.0,0.72222222222222221,0.27777777777777779,40.72066442,-73.98517977
167,19-04-30,6.0,2.5,42.5,45.0,0.055555555555555552,0.94444444444444442,40.748900600657187,-73.9760488262888
3457,19-04-30,6.0,0.5,45.5,46.0,0.010869565217391304,0.98913043478260865,40.763025942805193,-73.972095251083374
446,19-04-30,6.0,9.5,37.5,47.0,0.2021276595744681,0.7978723404255319,40.74487634,-73.99529885
462,19-04-30,6.0,11.5,35.5,47.0,0.24468085106382978,0.75531914893617014,40.74691959,-74.00451887
438,19-04-30,6.0,33.0,14.0,47.0,0.7021276595744681,0.2978723404255319,40.72779126,-73.98564945
168,19-04-30,6.0,5.0,42.0,47.0,0.10638297872340426,0.8936170212765957,40.73971301,-73.99456405
164,19-04-30,6.0,3.0,44.0,47.0,0.063829787234042548,0.93617021276595747,40.75323098,-73.97032517
3136,19-04-30,6.0,2.0,45.0,47.0,0.0425531914893617,0.95744680851063835,40.766386083054705,-73.971512427134869
3146,19-04-30,6.0,9.0,38.0,47.0,0.19148936170212766,0.80851063829787229,40.77573034,-73.9567526
236,19-04-30,6.0,36.5,10.5,47.0,0.77659574468085113,0.22340425531914893,40.72841859886519,-73.987139556910677
363,19-04-30,6.0,43.5,5.5,49.0,0.88775510204081631,0.11224489795918366,40.70834698,-74.01713445
3320,19-04-30,6.0,6.5,42.5,49.0,0.13265306122448978,0.86734693877551017,40.793889826498308,-73.963048765241581
358,19-04-30,6.0,28.5,21.5,50.0,0.57000000000000006,0.43000000000000005,40.732915535816105,-74.007113839389447
435,19-04-30,6.0,7.0,43.0,50.0,0.14,0.8600000000000001,40.741739693441808,-73.994155562306076
3134,19-04-30,6.0,0.0,51.0,51.0,0.0,1.0,40.76312584,-73.96526895
405,19-04-30,6.0,24.5,26.5,51.0,0.48039215686274506,0.51960784313725494,40.739323,-74.008119
3108,19-04-30,6.0,50.0,1.0,51.0,0.98039215686274506,0.0196078431372549,40.725569987547644,-73.944339992572282
3165,19-04-30,6.0,17.0,34.0,51.0,0.33333333333333331,0.66666666666666663,40.775793063619005,-73.976202857688293
504,19-04-30,6.0,32.5,20.5,53.0,0.6132075471698113,0.3867924528301887,40.732218527360466,-73.98165557291226
285,19-04-30,6.0,30.5,22.5,53.0,0.57547169811320753,0.42452830188679247,40.734545669145326,-73.990741421971322
150,19-04-30,6.0,47.5,6.5,54.0,0.87962962962962954,0.12037037037037036,40.720873611063858,-73.98085794157295
247,19-04-30,6.0,48.5,5.5,54.0,0.89814814814814814,0.10185185185185185,40.73535398,-74.00483091
317,19-04-30,6.0,44.5,9.5,54.0,0.82407407407407407,0.17592592592592593,40.72453734,-73.98185424
3016,19-04-30,6.0,43.5,10.5,54.0,0.80555555555555558,0.19444444444444442,40.720615301812394,-73.9616630684976
72,19-04-30,6.0,13.0,42.0,55.0,0.23636363636363633,0.76363636363636367,40.767272158968012,-73.993928884061546
3140,19-04-30,6.0,44.5,10.5,55.0,0.80909090909090908,0.19090909090909092,40.771404248005972,-73.953516595587644
461,19-04-30,6.0,49.5,6.5,56.0,0.8839285714285714,0.11607142857142858,40.73587678306464,-73.982050272591266
525,19-04-30,6.0,2.0,54.0,56.0,0.035714285714285712,0.9642857142857143,40.755941586464267,-74.002116295808207
267,19-04-30,6.0,0.0,57.0,57.0,0.0,1.0,40.750977114649338,-73.9876542861167
524,19-04-30,6.0,2.0,55.0,57.0,0.035087719298245612,0.96491228070175439,40.75527307,-73.98316936
469,19-04-30,6.0,4.0,53.0,57.0,0.070175438596491224,0.92982456140350878,40.76344058,-73.98268129
301,19-04-30,6.0,46.0,12.0,58.0,0.7931034482758621,0.20689655172413796,40.722174439456204,-73.9836877878559
3161,19-04-30,6.0,51.5,7.5,59.0,0.8728813559322034,0.1271186440677966,40.780183964259194,-73.977285323559585
254,19-04-30,6.0,34.5,24.5,59.0,0.5847457627118644,0.4152542372881356,40.73532427,-73.99800419
3295,19-04-30,6.0,39.5,19.5,59.0,0.66949152542372881,0.33050847457627119,40.791269998126381,-73.964839001117241
455,19-04-30,6.0,5.5,53.5,59.0,0.093220338983050849,0.90677966101694918,40.75001986,-73.96905301
3141,19-04-30,6.0,11.0,48.0,59.0,0.1864406779661017,0.81355932203389836,40.765005247246151,-73.9581849122329
212,19-04-30,6.0,10.0,50.0,60.0,0.16666666666666669,0.83333333333333326,40.74334935,-74.00681753
349,19-04-30,6.0,35.5,25.5,61.0,0.58196721311475408,0.41803278688524592,40.71850211,-73.98329859
83,19-04-30,6.0,26.0,36.0,62.0,0.41935483870967738,0.58064516129032262,40.68382604,-73.97632328
509,19-04-30,6.0,26.0,37.0,63.0,0.41269841269841268,0.58730158730158732,40.745497301201453,-74.0019713876784
359,19-04-30,6.0,1.5,62.5,64.0,0.0234375,0.9765625,40.755102669521833,-73.974986955403423
468,19-04-30,6.0,24.5,40.5,65.0,0.37692307692307692,0.62307692307692308,40.765265383343433,-73.981923394171659
