year,day_of_week,hour_of_day,minute,num_rides
2019,5,0,51,262
2018,3,0,26,262
2020,6,0,13,493
2019,4,0,29,313
2019,5,0,33,335
2020,4,0,0,509
2018,7,0,18,554
2019,3,0,13,388
2019,4,0,32,312
2019,5,0,16,438
2020,2,0,15,373
2020,3,0,38,269
2019,2,0,49,232
2018,1,0,52,455
2018,1,0,53,432
2020,7,0,27,639
2018,7,0,59,426
2020,7,0,43,599
2019,7,0,1,836
2020,2,0,1,469
2020,7,0,33,651
2018,3,0,39,204
2019,1,0,21,771
2019,7,0,52,569
2018,7,0,14,607
2020,4,0,22,373
2018,5,0,5,445
2020,5,0,4,511
2020,2,0,33,317
2019,2,0,5,391
2020,7,0,0,754
2020,5,0,42,300
2018,4,0,45,209
2018,3,0,43,203
2018,3,0,29,239
2018,6,0,1,521
2018,4,0,16,319
2020,4,0,46,305
2018,5,0,6,456
2018,1,0,20,572
2019,4,0,2,425
2019,2,0,1,395
2020,3,0,24,348
2019,2,0,50,223
2019,5,0,0,494
2019,1,0,33,711
2019,2,0,24,303
2020,5,0,2,536
2020,3,0,27,319
2019,3,0,2,415
2019,4,0,26,332
2020,6,0,43,306
2020,6,0,38,404
2020,1,0,18,701
2020,1,0,8,848
2020,1,0,56,583
2020,7,0,26,594
2019,1,0,28,684
2019,7,0,13,751
2019,2,0,7,400
2020,7,0,21,708
2020,2,0,9,397
2020,2,0,23,312
2020,5,0,52,263
2018,5,0,39,266
2019,6,0,23,464
2019,4,0,20,376
2019,7,0,34,653
2020,3,0,57,230
2019,7,0,56,516
2020,5,0,27,365
2019,7,0,39,621
2019,2,0,34,281
2019,2,0,15,384
2019,7,0,20,708
2018,2,0,59,175
2019,6,0,48,362
2018,2,0,57,202
2020,2,0,3,451
2019,4,0,24,351
2020,7,0,29,687
2018,4,0,28,266
2019,2,0,41,241
2020,1,0,39,656
2019,3,0,10,408
2019,2,0,19,292
2020,6,0,6,575
2019,7,0,46,559
2020,7,0,53,564
2020,2,0,14,363
2020,3,0,10,379
2020,2,0,20,401
2019,3,0,29,256
2020,6,0,25,434
2019,1,0,7,764
2020,5,0,48,270
2020,1,0,48,668
2019,5,0,7,492
2020,3,0,12,398
2019,4,0,16,357
2018,7,0,20,553
2019,4,0,36,296
2019,6,0,5,587
2019,6,0,44,359
2020,6,0,57,290
2019,4,0,12,394
2019,4,0,11,427
2020,3,0,52,220
2019,1,0,31,667
2019,1,0,57,590
2018,7,0,58,437
2020,5,0,29,365
2019,3,0,5,395
2019,4,0,0,449
2020,6,0,37,379
2020,3,0,48,258
2020,5,0,44,315
2020,2,0,34,296
2020,6,0,11,506
2020,3,0,49,246
2018,5,0,14,393
2020,7,0,23,648
2019,5,0,35,355
2019,6,0,8,560
2020,4,0,1,507
2019,4,0,23,341
2018,5,0,32,264
2019,1,0,25,679
2018,5,0,15,386
2020,2,0,49,216
2018,5,0,40,268
2019,3,0,11,385
2019,4,0,31,314
2020,6,0,19,497
2019,4,0,5,444
2019,7,0,19,689
2020,1,0,46,568
2016,7,0,14,429
2016,6,0,58,218
2017,7,0,48,420
2014,6,0,35,166
2016,6,0,56,254
2015,5,0,26,211
2015,4,0,4,250
2015,7,0,23,283
2013,3,0,51,69
2015,6,0,5,341
2014,7,0,30,261
2015,7,0,25,324
2015,3,0,52,144
2015,5,0,37,173
2014,3,0,18,154
2014,7,0,24,281
2014,2,0,41,98
2014,7,0,31,234
2014,2,0,2,219
2014,2,0,7,152
2016,4,0,8,315
2014,3,0,7,207
2015,6,0,56,167
2016,1,0,19,448
2016,3,0,21,226
2014,3,0,37,116
2016,3,0,48,158
2017,6,0,20,371
2016,6,0,22,337
2015,2,0,37,150
2016,4,0,40,221
2015,7,0,14,324
2014,3,0,13,174
2016,4,0,6,357
2015,3,0,47,118
2017,7,0,18,533
2015,1,0,34,303
2018,5,0,47,256
2017,2,0,6,344
2014,6,0,42,149
2016,1,0,52,403
2015,5,0,8,272
2021,5,0,10,28
2013,6,0,4,213
2014,3,0,5,196
2014,4,0,59,106
2015,6,0,11,313
2014,6,0,57,156
2014,5,0,43,140
2014,5,0,33,149
2015,6,0,59,175
2015,5,0,45,164
2017,6,0,15,432
2020,6,0,35,402
2017,5,0,46,225
2013,5,0,34,139
2016,2,0,17,213
2014,5,0,15,182
2017,4,0,21,272
2015,6,0,1,360
2016,7,0,23,423
2014,4,0,57,91
2021,3,0,6,18
2016,3,0,36,198
2015,3,0,1,213
2015,3,0,38,150
2016,2,0,25,206
2016,6,0,47,239
2016,7,0,58,303
2016,5,0,25,270
2013,6,0,17,177
2015,7,0,0,366
2017,6,0,14,420
2016,2,0,58,115
2016,7,0,22,421
2018,6,0,18,439
2019,6,0,59,310
2016,4,0,45,206
2016,5,0,43,209
2017,7,0,44,422
2017,2,0,24,248
2013,7,0,45,170
2016,5,0,13,344
2020,6,0,9,555
2017,3,0,49,196
2017,1,0,19,491
2018,3,0,35,247
2015,3,0,31,174
2017,2,0,30,223
2019,6,0,17,479
2016,2,0,55,143
2021,6,0,12,32
2017,1,0,17,505
2019,7,0,0,784
2017,5,0,2,459
2020,2,0,45,270
2016,7,0,42,384
2015,5,0,39,171
2015,3,0,36,137
2017,4,0,10,369
2017,5,0,10,448
2016,5,0,22,258
2018,4,0,32,274
2016,2,0,50,137
2019,5,0,20,365
2018,6,0,20,405
2016,6,0,37,273
2015,6,0,36,210
2019,6,0,10,549
2016,6,0,24,318
2021,7,0,34,24
2016,4,0,7,308
2017,3,0,16,296
2016,6,0,27,338
2018,5,0,24,329
2015,2,0,34,143
2017,3,0,47,205
2016,5,0,37,235
2019,3,0,23,290
2019,5,0,19,393
2021,5,0,6,20
2016,7,0,16,452
2021,5,0,2,25
2018,1,0,1,592
2018,5,0,18,373
2021,2,0,8,24
2020,5,0,34,360
2020,4,0,14,448
2018,5,0,53,241
2021,7,0,49,18
2017,6,0,52,273
2017,3,0,24,246
2017,3,0,9,285
2016,7,0,21,409
2019,6,0,25,438
2017,3,0,10,305
2017,2,0,21,270
2018,5,0,49,259
2021,1,0,20,28
2021,4,0,12,20
2021,1,0,57,30
2016,5,0,20,313
2019,5,0,26,364
2017,3,0,13,284
2017,4,0,32,230
2017,3,0,1,367
2016,6,0,55,236
2016,3,0,46,163
2020,3,0,44,250
2019,2,0,59,210
2017,2,0,29,229
2019,6,0,41,378
2018,5,0,0,466
2018,1,0,24,553
2019,6,0,54,330
2020,2,0,41,275
2019,4,0,22,368
2017,3,0,5,305
2020,2,0,47,293
2018,4,0,46,232
2018,3,0,19,255
2018,7,0,21,556
2018,7,0,53,450
2017,2,0,39,216
2018,1,0,28,503
2019,6,0,43,361
2019,5,0,12,488
2018,6,0,29,368
2019,5,0,29,321
2019,5,0,59,245
2019,4,0,46,265
2019,6,0,3,628
2020,4,0,20,412
2019,3,0,15,388
2016,4,0,21,251
2020,4,0,54,264
2018,7,0,41,463
2018,2,0,33,236
2018,4,0,0,420
2020,6,0,21,457
2014,4,0,3,211
2013,5,0,49,122
2014,5,0,19,163
2018,2,0,51,189
2014,7,0,57,200
2013,4,0,32,105
2013,3,0,26,124
2019,6,0,15,509
2018,3,0,46,194
2013,2,0,12,133
2019,6,0,24,453
2018,2,0,20,253
2020,3,0,3,427
2019,3,0,48,231
2018,4,0,41,254
2018,3,0,18,288
2018,5,0,37,304
2020,6,0,52,350
2013,7,0,29,207
2019,4,0,38,316
2021,5,0,27,17
2018,1,0,4,586
2018,5,0,3,450
2014,2,0,24,133
2013,4,0,19,144
2018,4,0,44,216
2014,7,0,34,251
2019,2,0,32,286
2019,3,0,47,235
2018,6,0,54,284
2019,1,0,2,816
2018,3,0,44,206
2018,5,0,21,345
2013,6,0,41,144
2013,5,0,54,100
2013,6,0,12,191
2018,2,0,22,282
2014,5,0,18,170
2013,5,0,20,149
2014,5,0,52,107
2019,6,0,26,465
2019,5,0,34,341
2014,7,0,14,259
2013,5,0,37,124
2014,5,0,34,125
2013,3,0,24,116
2018,6,0,43,320
2018,3,0,30,244
2021,5,0,52,9
2018,3,0,11,313
2019,1,0,10,826
2018,3,0,23,250
2019,2,0,16,332
2018,2,0,1,342
2019,4,0,44,301
2018,5,0,55,189
2019,2,0,40,243
2013,1,0,9,270
2014,5,0,35,122
2019,5,0,1,483
2018,2,0,43,209
2018,4,0,10,369
2013,5,0,42,101
2013,5,0,32,109
2014,2,0,22,135
2013,7,0,33,194
2018,5,0,41,255
2021,6,0,29,26
2018,1,0,37,465
2014,7,0,55,220
2019,5,0,30,329
2020,4,0,40,286
2018,3,0,10,324
2019,6,0,58,306
2018,6,0,52,223
2018,1,0,15,543
2019,4,0,59,248
2014,3,0,21,152
2013,4,0,5,186
2014,7,0,59,220
2014,6,0,23,236
2019,3,0,36,328
2018,6,0,31,344
2021,5,0,41,19
2018,4,0,47,200
2018,2,0,46,201
2014,6,0,43,147
2013,3,0,8,153
2014,6,0,24,246
2013,4,0,14,138
2018,4,0,52,230
2020,6,0,33,395
2014,7,0,46,216
2020,6,0,42,370
2021,4,0,53,9
2014,3,0,0,210
2014,5,0,3,211
2013,3,0,5,155
2021,7,0,8,36
2018,5,0,31,304
2018,4,0,53,225
2021,3,0,1,22
2021,4,0,52,10
2013,2,0,2,151
2014,5,0,58,102
2013,6,0,47,122
2013,6,0,56,119
2014,4,0,45,120
2014,6,0,21,202
2014,7,0,13,264
2018,2,0,48,177
2021,5,0,21,18
2013,3,0,43,103
2014,4,0,23,153
2014,5,0,14,178
2013,7,0,53,165
2014,4,0,33,162
2014,5,0,37,150
2021,1,0,58,39
2013,2,0,42,84
2021,5,0,50,12
2013,4,0,37,102
2018,3,0,25,259
2021,5,0,48,14
2020,6,0,22,409
2014,5,0,29,157
2013,6,0,27,149
2014,1,0,42,280
2014,2,0,1,172
2021,3,0,11,15
2014,4,0,44,104
2014,5,0,59,113
2013,3,0,33,91
2014,3,0,22,146
2014,2,0,59,85
2021,7,0,29,19
2018,3,0,56,145
2018,2,0,37,206
2014,4,0,7,203
2013,4,0,40,113
2021,7,0,56,17
2021,2,0,2,20
2019,6,0,11,544
2013,2,0,35,90
2014,6,0,50,171
2018,2,0,26,275
2014,3,0,17,168
2020,5,0,26,388
2021,6,0,48,29
2021,4,0,18,20
2018,5,0,58,232
2014,3,0,31,136
2014,4,0,54,91
2019,6,0,46,342
2013,2,0,43,97
2021,3,0,36,12
2013,3,0,30,113
2014,5,0,46,119
2021,3,0,4,30
2013,6,0,23,156
2021,4,0,1,21
2021,4,0,25,14
2021,2,0,12,16
2018,2,0,52,176
2021,5,0,38,18
2021,2,0,19,21
2021,2,0,28,12
2013,5,0,21,144
2014,5,0,55,119
2021,3,0,9,23
2021,2,0,21,16
2021,3,0,58,9
2021,3,0,13,19
2021,4,0,2,23
2021,4,0,20,13
