year,day_of_week,hour_of_day,num_rides
2017,6,8,221361
2018,2,17,275705
2020,6,7,100253
2018,6,10,111915
2021,7,1,877
2016,6,11,88924
2016,7,10,102705
2019,2,13,136699
2017,6,13,129970
2019,1,19,136260
2019,3,10,125123
2019,6,17,316302
2020,2,17,259546
2017,4,12,115645
2017,7,20,76943
2019,2,7,161083
2017,7,12,164495
2019,7,18,192620
2016,5,12,97522
2018,3,6,80202
2020,2,13,147427
2020,7,21,88046
2020,7,20,127178
2018,2,13,121503
2016,3,12,88018
2019,2,17,320612
2017,4,6,74469
2019,2,20,139986
2017,3,13,106697
2019,4,13,145911
2016,7,18,110572
2017,7,19,107087
2020,6,1,13633
2017,7,21,58171
2018,7,18,148859
2019,1,15,205968
2019,5,22,73585
2018,2,7,138430
2017,5,5,18291
2018,5,11,104575
2018,7,20,83318
2019,7,0,39356
2019,5,23,49292
2018,1,18,144899
2020,2,12,135100
2018,6,23,45795
2019,4,11,123782
2018,5,22,66848
2020,5,11,118214
2019,4,12,143598
2019,3,1,9023
2021,6,14,13180
2018,4,6,75321
2019,6,11,133817
2019,6,16,237369
2019,5,17,307423
2019,1,10,142172
2019,7,17,215222
2018,4,9,194027
2021,4,17,14348
2017,6,23,39534
2016,6,15,130711
2018,2,15,135304
2018,1,13,170126
2018,5,21,88601
2017,2,18,251341
2020,4,6,67148
2019,2,19,208934
2019,7,10,169587
2018,6,11,110317
2020,7,10,163555
2018,5,14,129788
2017,3,6,72977
2020,1,21,74712
2018,2,5,19353
2020,2,19,192919
2020,7,8,78261
2019,1,13,200961
2017,7,6,11884
2020,4,19,206108
2021,4,21,3415
2020,2,2,6400
2016,7,20,62889
2019,2,22,63769
2021,3,9,9291
2019,7,16,231869
2020,3,8,187565
2017,7,22,49365
2019,5,6,80199
2019,5,0,21834
2019,2,10,115891
2019,5,8,287853
2018,1,8,47117
2016,1,22,34362
2019,5,14,150435
2020,3,21,85902
2020,5,23,45350
2020,3,10,114874
2017,7,2,11018
2019,6,19,185926
2016,6,19,117937
2018,2,20,121547
2014,2,21,39464
2014,7,14,84983
2014,6,11,51727
2014,2,12,56448
2014,5,14,58719
2014,2,14,61925
2013,1,14,61505
2013,2,9,50960
2014,7,11,70785
2013,7,22,22256
2013,6,16,63724
2014,1,16,87778
2013,5,9,55139
2013,6,18,72978
2013,7,13,65190
2013,2,16,50352
2014,6,15,75767
2014,7,15,85438
2014,7,18,65569
2013,4,7,43672
2013,4,13,41236
2013,5,23,15928
2014,1,8,19098
2013,2,20,41899
2013,3,9,56688
2013,6,13,46791
2013,6,20,34322
2013,7,19,46366
2014,6,22,25774
2014,4,19,86119
2014,6,13,66786
2014,1,7,8886
2014,1,12,80523
2013,1,19,43375
2013,3,18,90405
2013,2,13,38117
